date,day_type,exception_type,holiday,period,service_id
20240101,3,1,1,2,26_MPLKH
20240102,1,1,0,2,4_MPLKH
20240103,1,1,0,1,1_MPLKH
20240104,1,1,0,1,1_MPLKH
20240105,1,1,0,1,1_MPLKH
20240106,2,1,0,1,2_MPLKH
20240107,3,1,0,1,3_MPLKH
20240108,1,1,0,1,1_MPLKH
20240109,1,1,0,1,1_MPLKH
20240110,1,1,0,1,1_MPLKH
20240111,1,1,0,1,1_MPLKH
20240112,1,1,0,1,1_MPLKH
20240113,2,1,0,1,2_MPLKH
20240114,3,1,0,1,3_MPLKH
20240115,1,1,0,1,1_MPLKH
20240116,1,1,0,1,1_MPLKH
20240117,1,1,0,1,1_MPLKH
20240118,1,1,0,1,1_MPLKH
20240119,1,1,0,1,1_MPLKH
20240120,2,1,0,1,2_MPLKH
20240121,3,1,0,1,3_MPLKH
20240122,1,1,0,1,1_MPLKH
20240123,1,1,0,1,1_MPLKH
20240124,1,1,0,1,1_MPLKH
20240125,1,1,0,1,1_MPLKH
20240126,1,1,0,1,1_MPLKH
20240127,2,1,0,1,2_MPLKH
20240128,3,1,0,1,3_MPLKH
20240129,1,1,0,1,1_MPLKH
20240130,1,1,0,1,1_MPLKH
20240131,1,1,0,1,1_MPLKH
20240201,1,1,0,1,1_MPLKH
20240202,1,1,0,1,1_MPLKH
20240203,2,1,0,1,2_MPLKH
20240204,3,1,0,1,3_MPLKH
20240205,1,1,0,1,1_MPLKH
20240206,1,1,0,1,1_MPLKH
20240207,1,1,0,1,1_MPLKH
20240208,1,1,0,1,1_MPLKH
20240209,1,1,0,1,1_MPLKH
20240210,2,1,0,1,2_MPLKH
20240211,3,1,0,1,3_MPLKH
20240212,1,1,0,2,4_MPLKH
20240213,1,1,0,2,5_MPLKH
20240214,1,1,0,2,4_MPLKH
20240215,1,1,0,1,1_MPLKH
20240216,1,1,0,1,1_MPLKH
20240217,2,1,0,1,2_MPLKH
20240217,2,1,0,1,12_MPLKH
20240218,3,1,0,1,13_MPLKH
20240218,3,1,0,1,3_MPLKH
20240219,1,1,0,1,1_MPLKH
20240220,1,1,0,1,1_MPLKH
20240221,1,1,0,1,1_MPLKH
20240222,1,1,0,1,1_MPLKH
20240223,1,1,0,1,1_MPLKH
20240224,2,1,0,1,2_MPLKH
20240224,2,1,0,1,12_MPLKH
20240225,3,1,0,1,13_MPLKH
20240225,3,1,0,1,3_MPLKH
20240226,1,1,0,1,1_MPLKH
20240227,1,1,0,1,1_MPLKH
20240228,1,1,0,1,1_MPLKH
20240229,1,1,0,1,1_MPLKH
20240301,1,1,0,1,1_MPLKH
20240301,1,1,0,1,11_MPLKH
20240302,2,1,0,1,12_MPLKH
20240302,2,1,0,1,2_MPLKH
20240303,3,1,0,1,3_MPLKH
20240303,3,1,0,1,13_MPLKH
20240304,1,1,0,1,11_MPLKH
20240304,1,1,0,1,1_MPLKH
20240305,1,1,0,1,1_MPLKH
20240305,1,1,0,1,11_MPLKH
20240306,1,1,0,1,11_MPLKH
20240306,1,1,0,1,1_MPLKH
20240307,1,1,0,1,1_MPLKH
20240307,1,1,0,1,11_MPLKH
20240308,1,1,0,1,11_MPLKH
20240308,1,1,0,1,1_MPLKH
20240309,2,1,0,1,2_MPLKH
20240310,3,1,0,1,3_MPLKH
20240311,1,1,0,1,1_MPLKH
20240311,1,1,0,1,91_MPLKH
20240312,1,1,0,1,91_MPLKH
20240312,1,1,0,1,1_MPLKH
20240313,1,1,0,1,1_MPLKH
20240313,1,1,0,1,91_MPLKH
20240314,1,1,0,1,91_MPLKH
20240314,1,1,0,1,1_MPLKH
20240315,1,1,0,1,1_MPLKH
20240315,1,1,0,1,91_MPLKH
20240316,2,1,0,1,92_MPLKH
20240316,2,1,0,1,2_MPLKH
20240317,3,1,0,1,3_MPLKH
20240317,3,1,0,1,93_MPLKH
20240318,1,1,0,1,91_MPLKH
20240318,1,1,0,1,1_MPLKH
20240319,1,1,0,1,1_MPLKH
20240319,1,1,0,1,91_MPLKH
20240320,1,1,0,1,91_MPLKH
20240320,1,1,0,1,1_MPLKH
20240321,1,1,0,1,1_MPLKH
20240321,1,1,0,1,91_MPLKH
20240322,1,1,0,1,91_MPLKH
20240322,1,1,0,1,1_MPLKH
20240323,2,1,0,1,2_MPLKH
20240323,2,1,0,1,92_MPLKH
20240324,3,1,0,1,93_MPLKH
20240324,3,1,0,1,3_MPLKH
20240325,1,1,0,1,1_MPLKH
20240325,1,1,0,1,91_MPLKH
20240326,1,1,0,1,91_MPLKH
20240326,1,1,0,1,1_MPLKH
20240327,1,1,0,1,1_MPLKH
20240327,1,1,0,1,91_MPLKH
20240328,1,1,0,2,94_MPLKH
20240328,1,1,0,2,4_MPLKH
20240329,3,1,1,2,6_MPLKH
20240330,2,1,0,2,5_MPLKH
20240331,3,1,1,2,6_MPLKH
20240401,1,1,0,2,4_MPLKH
20240401,1,1,0,2,94_MPLKH
20240402,1,1,0,2,94_MPLKH
20240402,1,1,0,2,4_MPLKH
20240403,1,1,0,1,1_MPLKH
20240403,1,1,0,1,91_MPLKH
20240404,1,1,0,1,91_MPLKH
20240404,1,1,0,1,1_MPLKH
20240405,1,1,0,1,1_MPLKH
20240405,1,1,0,1,91_MPLKH
20240406,2,1,0,1,92_MPLKH
20240406,2,1,0,1,2_MPLKH
20240407,3,1,0,1,3_MPLKH
20240407,3,1,0,1,93_MPLKH
