fare_id,route_id
T2-PREPAGO,1001_0
T2-BORDO,1001_0
T2-PREPAGO,1002_0
T2-BORDO,1002_0
T2-PREPAGO,1003_0
T2-BORDO,1003_0
T2-PREPAGO,1004_0
T2-BORDO,1004_0
T2-PREPAGO,1005_0
T2-BORDO,1005_0
T2-PREPAGO,1005_1
T2-BORDO,1005_1
T2-PREPAGO,1005_2
T2-BORDO,1005_2
T2-PREPAGO,1006_0
T2-BORDO,1006_0
T2-PREPAGO,1006_1
T2-BORDO,1006_1
T1-PREPAGO,1008_0
T1-BORDO,1008_0
T1-PREPAGO,1009_0
T1-BORDO,1009_0
T2-PREPAGO,1010_0
T2-BORDO,1010_0
T2-PREPAGO,1011_0
T2-BORDO,1011_0
T2-PREPAGO,1011_1
T2-BORDO,1011_1
T1-PREPAGO,1012_0
T1-BORDO,1012_0
T2-PREPAGO,1013_0
T2-BORDO,1013_0
T2-PREPAGO,1014_0
T2-BORDO,1014_0
T1-PREPAGO,1015_0
T1-BORDO,1015_0
T2-PREPAGO,1101_0
T2-BORDO,1101_0
T2-PREPAGO,1101_1
T2-BORDO,1101_1
T2-PREPAGO,1103_0
T2-BORDO,1103_0
T2-PREPAGO,1105_0
T2-BORDO,1105_0
T2-PREPAGO,1105_1
T2-BORDO,1105_1
T2-PREPAGO,1106_0
T2-BORDO,1106_0
T2-PREPAGO,1106_1
T2-BORDO,1106_1
T2-PREPAGO,1107_0
T2-BORDO,1107_0
T1-PREPAGO,1109_0
T1-BORDO,1109_0
T2-PREPAGO,1110_0
T2-BORDO,1110_0
T2-PREPAGO,1111_0
T2-BORDO,1111_0
T1-PREPAGO,1113_0
T1-BORDO,1113_0
T1-PREPAGO,1114_0
T1-BORDO,1114_0
T2-PREPAGO,1115_0
T2-BORDO,1115_0
T2-PREPAGO,1115_1
T2-BORDO,1115_1
T2-PREPAGO,1115_2
T2-BORDO,1115_2
T2-PREPAGO,1115_3
T2-BORDO,1115_3
T2-PREPAGO,1115_4
T2-BORDO,1115_4
T2-PREPAGO,1117_0
T2-BORDO,1117_0
T2-PREPAGO,1117_1
T2-BORDO,1117_1
T2-PREPAGO,1117_2
T2-BORDO,1117_2
T2-PREPAGO,1117_3
T2-BORDO,1117_3
T2-PREPAGO,1119_0
T2-BORDO,1119_0
T2-PREPAGO,1119_1
T2-BORDO,1119_1
T1-PREPAGO,1120_0
T1-BORDO,1120_0
T2-PREPAGO,1121_0
T2-BORDO,1121_0
T2-PREPAGO,1122_0
T2-BORDO,1122_0
T2-PREPAGO,1123_0
T2-BORDO,1123_0
T2-PREPAGO,1123_1
T2-BORDO,1123_1
T1-PREPAGO,1124_0
T1-BORDO,1124_0
T2-PREPAGO,1125_0
T2-BORDO,1125_0
T1-PREPAGO,1201_0
T1-BORDO,1201_0
T1-PREPAGO,1204_0
T1-BORDO,1204_0
T1-PREPAGO,1204_1
T1-BORDO,1204_1
T1-PREPAGO,1204_2
T1-BORDO,1204_2
T1-PREPAGO,1205_0
T1-BORDO,1205_0
T2-PREPAGO,1206_0
T2-BORDO,1206_0
T2-PREPAGO,1206_1
T2-BORDO,1206_1
T2-PREPAGO,1208_0
T2-BORDO,1208_0
T2-PREPAGO,1209_0
T2-BORDO,1209_0
T2-PREPAGO,1209_1
T2-BORDO,1209_1
T1-PREPAGO,1210_0
T1-BORDO,1210_0
T2-PREPAGO,1211_0
T2-BORDO,1211_0
T2-PREPAGO,1212_0
T2-BORDO,1212_0
T2-PREPAGO,1213_0
T2-BORDO,1213_0
T2-PREPAGO,1215_0
T2-BORDO,1215_0
T1-PREPAGO,1216_0
T1-BORDO,1216_0
T1-PREPAGO,1216_1
T1-BORDO,1216_1
T2-PREPAGO,1217_0
T2-BORDO,1217_0
T2-PREPAGO,1218_0
T2-BORDO,1218_0
T2-PREPAGO,1219_0
T2-BORDO,1219_0
T2-PREPAGO,1220_0
T2-BORDO,1220_0
T1-PREPAGO,1221_0
T1-BORDO,1221_0
T1-PREPAGO,1222_0
T1-BORDO,1222_0
T2-PREPAGO,1223_0
T2-BORDO,1223_0
T2-PREPAGO,1223_1
T2-BORDO,1223_1
T2-PREPAGO,1223_2
T2-BORDO,1223_2
T2-PREPAGO,1224_0
T2-BORDO,1224_0
T2-PREPAGO,1225_0
T2-BORDO,1225_0
T1-PREPAGO,1226_0
T1-BORDO,1226_0
T2-PREPAGO,1228_0
T2-BORDO,1228_0
T1-PREPAGO,1229_0
T1-BORDO,1229_0
T1-PREPAGO,1230_0
T1-BORDO,1230_0
T2-PREPAGO,1231_0
T2-BORDO,1231_0
T2-PREPAGO,1232_0
T2-BORDO,1232_0
T2-PREPAGO,1233_0
T2-BORDO,1233_0
T2-PREPAGO,1234_0
T2-BORDO,1234_0
T2-PREPAGO,1235_0
T2-BORDO,1235_0
T2-PREPAGO,1236_0
T2-BORDO,1236_0
T2-PREPAGO,1240_0
T2-BORDO,1240_0
T2-PREPAGO,1241_0
T2-BORDO,1241_0
T2-PREPAGO,1242_0
T2-BORDO,1242_0
T2-PREPAGO,1244_0
T2-BORDO,1244_0
T2-PREPAGO,1245_0
T2-BORDO,1245_0
T2-PREPAGO,1247_0
T2-BORDO,1247_0
T2-PREPAGO,1248_0
T2-BORDO,1248_0
T2-PREPAGO,1248_1
T2-BORDO,1248_1
T2-PREPAGO,1249_0
T2-BORDO,1249_0
T2-PREPAGO,1250_0
T2-BORDO,1250_0
T2-PREPAGO,1251_0
T2-BORDO,1251_0
T2-PREPAGO,1251_1
T2-BORDO,1251_1
T2-PREPAGO,1251_2
