agency_id,circular,line_id,line_long_name,line_short_name,line_type,path_type,route_color,route_id,route_long_name,route_short_name,route_text_color,route_type,school
CM,0,1001,Alfragide (Estr Seminario) - Reboleira (Estação),1001,,1,C61D23,1001_0,Alfragide (Estr Seminario) - Reboleira (Estação),1001,FFFFFF,3,
CM,1,1002,Reboleira (Estação) | Circular via Alfragide (Centro comercial ) e Amadora (Estação Sul),1002,,1,C61D23,1002_0,Reboleira (Estação) | Circular via Alfragide (Centro comercial ) e Amadora (Estação Sul),1002,FFFFFF,3,
CM,0,1003,Amadora (Estação Norte) - Amadora Este (Metro),1003,,1,C61D23,1003_0,Amadora (Estação Norte) - Amadora Este (Metro),1003,FFFFFF,3,
CM,1,1004,Amadora (Estação Norte) | Circular via Moinhos da Funcheira,1004,,1,C61D23,1004_0,Amadora (Estação Norte) via Moinhos da Funcheira | Circular,1004,FFFFFF,3,
CM,0,1005,Amadora (Estação Norte) - UBBO,1005,,1,C61D23,1005_0,Amadora (Estação Norte) - UBBO,1005,FFFFFF,3,
CM,0,1005,Amadora (Estação Norte) - UBBO,1005,,3,C61D23,1005_1,Casal São Brás - Amadora (Estação Norte),1005,FFFFFF,3,
CM,1,1005,Amadora (Estação Norte) - UBBO,1005,,3,C61D23,1005_2,Amadora (Estação Norte) | Circular madrugada,1005,FFFFFF,3,
CM,0,1006,Amadora (Estação Norte) - UBBO | Noturna,1006,,1,C61D23,1006_0,Amadora (Estação Norte) - UBBO | Noturna,1006,FFFFFF,3,
CM,0,1006,Amadora (Estação Norte) - UBBO | Noturna,1006,,3,C61D23,1006_1,Amadora (Estação Norte) - Moinhos Funcheira (Rotunda) | Noturna,1006,FFFFFF,3,
CM,1,1008,Amadora Este (Metro) | Circular,1008,,1,3D85C6,1008_0,Amadora Este (Metro) | Circular,1008,FFFFFF,3,
CM,1,1009,Amadora (Hospital) | Circular Via Mina e Venteira,1009,,1,3D85C6,1009_0,Amadora (Hospital) Via Mina e Venteira | Circular,1009,FFFFFF,3,
CM,0,1010,Brandoa (Pólo Escolar) - Casal da Mira,1010,,1,C61D23,1010_0,Brandoa (Pólo Escola) - Casal da Mira,1010,FFFFFF,3,
CM,0,1011,Brandoa (Largo) - Reboleira (Metro),1011,,1,C61D23,1011_0,Brandoa (Largo) - Reboleira (Metro),1011,FFFFFF,3,
CM,1,1011,Brandoa (Largo) - Reboleira (Metro),1011,,3,C61D23,1011_1,Brandoa (Largo) - Reboleira (Metro) | Circular,1011,FFFFFF,3,
CM,1,1012,Alfornelos Metro | Circular via Brandoa,1012,,1,3D85C6,1012_0,Alfornelos Metro via Brandoa | Circular,1012,FFFFFF,3,
CM,0,1013,Amadora (Cemitério) - Atalaia (Escola Secundária) via Casas do Lago,1013,,1,C61D23,1013_0,Amadora (Cemitério) - Atalaia (Escola Secundária) via Casas do Lago,1013,FFFFFF,3,
CM,0,1014,Amadora (Cemitério) - Vila Chã via Casas do Lago,1014,,1,C61D23,1014_0,Amadora (Cemitério) - Vila Chã via Casas do Lago,1014,FFFFFF,3,
CM,1,1015,Reboleira (Estação) | Circular via Damaia,1015,,1,3D85C6,1015_0,Reboleira (Estação) via Damaia | Circular,1015,FFFFFF,3,
CM,0,1101,Alfragide (Centro Comercial) - Algés (Estação),1101,,1,C61D23,1101_0,Alfragide (Centro Comercial) - Algés (Estação),1101,FFFFFF,3,
CM,0,1101,Alfragide (Centro Comercial) - Algés (Estação),1101,,3,C61D23,1101_1,Alfragide (Centro Comercial) - Algés (Estação) via Carnaxide Esc. Sec,1101,FFFFFF,3,
CM,0,1103,Algés (Estação) - Queijas (PSP),1103,,1,C61D23,1103_0,Algés (Estação) - Queijas (PSP),1103,FFFFFF,3,
CM,0,1105,Algés (Estação) - Queluz Baixo (Centro Comercial),1105,,1,C61D23,1105_0,Algés (Estação) - Queluz Baixo (Centro Comercial),1105,FFFFFF,3,
CM,0,1105,Algés (Estação) - Queluz Baixo (Centro Comercial),1105,,3,C61D23,1105_1,Carnaxide (Escola Secundária) - Queluz Baixo (Centro Comercial),1105,FFFFFF,3,
CM,0,1106,Queluz Baixo (Centro Comercial) - Algés (Estação),1106,,1,C61D23,1106_0,Queluz Baixo (Centro Comercial) - Algés (Estação),1106,FFFFFF,3,
CM,0,1106,Queluz Baixo (Centro Comercial) - Algés (Estação),1106,,3,C61D23,1106_1,Algés (Estação) - Queijas (PSP),1106,FFFFFF,3,
CM,0,1107,Algés (Estação) - Queluz Baixo via Queijas,1107,,1,C61D23,1107_0,Algés (Estação) - Queluz Baixo via Queijas,1107,FFFFFF,3,
CM,1,1109,Carnaxide | Circular via Outurela,1109,,1,3D85C6,1109_0,Carnaxide via Outurela | Circular,1109,FFFFFF,3,
CM,1,1110,Carnaxide | Circular via Queijas,1110,,1,C61D23,1110_0,Carnaxide via Queijas | Circular,1110,FFFFFF,3,
CM,0,1111,Massamá-Barcarena (Estação Sul) - Barcarena (Fábrica Pólvora),1111,,1,C61D23,1111_0,Massamá-Barcarena (Estação Sul) - Barcarena (Fábrica Pólvora),1111,FFFFFF,3,
CM,1,1113,Algés (Estação) | Circular via Cruz Quebrada e Linda-a-Velha,1113,,1,3D85C6,1113_0,Algés (Estação) via Cruz Quebrada e Linda-a-Velha | Circular,1113,FFFFFF,3,
CM,1,1114,Algés (Estação) | Circular via Linda-a-Velha e Miraflores,1114,,1,3D85C6,1114_0,Algés (Estação) via Linda-a-Velha e Miraflores | Circular,1114,FFFFFF,3,
CM,0,1115,Caxias (Ped Italiana) - Lage (Centro),1115,,1,C61D23,1115_0,Caxias (Ped Italiana) - Lage (Centro),1115,FFFFFF,3,
CM,0,1115,Caxias (Ped Italiana) - Lage (Centro),1115,,3,C61D23,1115_1,Caxias (Ped Italiana) - Lage (Centro) via Escolas,1115,FFFFFF,3,
CM,0,1115,Caxias (Ped Italiana) - Lage (Centro),1115,,3,C61D23,1115_2,Caxias (Estação) - Paço de Arcos (Estação Norte),1115,FFFFFF,3,
CM,0,1115,Caxias (Ped Italiana) - Lage (Centro),1115,,3,C61D23,1115_3,Caxias (Ped Italiana) - Paço de Arcos (Estação Norte),1115,FFFFFF,3,
CM,0,1115,Caxias (Ped Italiana) - Lage (Centro),1115,,3,C61D23,1115_4,Paço de Arcos (Estação Norte) - Qta Torneiro,1115,FFFFFF,3,
CM,0,1117,Caxias (Qta Moura) - Lage (Centro),1117,,1,C61D23,1117_0,Caxias (Qta Moura) - Lage (Centro),1117,FFFFFF,3,
CM,0,1117,Caxias (Qta Moura) - Lage (Centro),1117,,3,C61D23,1117_1,Caxias (Qta Moura) - Lage (Centro) via Escolas,1117,FFFFFF,3,
CM,0,1117,Caxias (Qta Moura) - Lage (Centro),1117,,3,C61D23,1117_2,Paço de Arcos (Estação Norte) - Lage (Centro),1117,FFFFFF,3,
CM,0,1117,Caxias (Qta Moura) - Lage (Centro),1117,,3,C61D23,1117_3,Caxias (Qta Moura) - Paço de Arcos (Estação Norte),1117,FFFFFF,3,
CM,0,1119,Leceia (Sociedade) - Paço De Arcos (Estação Norte),1119,,1,C61D23,1119_0,Leceia (Sociedade) - Paço De Arcos (Estação Norte),1119,FFFFFF,3,
CM,0,1119,Leceia (Sociedade) - Paço De Arcos (Estação Norte),1119,,3,C61D23,1119_1,Leceia (Rotunda Idade Cobre) - Paço De Arcos (Estação Norte),1119,FFFFFF,3,
CM,0,1120,Oeiras (Estação Norte) - Paço De Arcos (Estação Norte),1120,,1,3D85C6,1120_0,Oeiras (Estação Norte) - Paço De Arcos (Estação Norte),1120,FFFFFF,3,
CM,1,1121,Oeiras | Circular via Piscina Oceânica,1121,,1,C61D23,1121_0,Oeiras via Piscina Oceânica | Circular,1121,FFFFFF,3,
CM,0,1122,Bº Joaquim Matias - Caxias (Ped Italiana),1122,,1,C61D23,1122_0,Bº Joaquim Matias - Caxias (Ped Italiana),1122,FFFFFF,3,
CM,0,1123,Paço De Arcos (Estação Norte) - Porto Salvo (Lagoas Park),1123,,1,C61D23,1123_0,Paço De Arcos (Estação Norte) - Porto Salvo (Lagoas Park),1123,FFFFFF,3,
CM,0,1123,Paço De Arcos (Estação Norte) - Porto Salvo (Lagoas Park),1123,,3,C61D23,1123_1,Porto Salvo (Lagoas Park) - Paço De Arcos (Estação Norte),1123,FFFFFF,3,
CM,1,1124,Paço de Arcos | Circular,1124,,1,3D85C6,1124_0,Paço de Arcos | Circular,1124,FFFFFF,3,
CM,1,1125,Porto Salvo | Circular via Leião e Lage,1125,,1,C61D23,1125_0,Porto Salvo via Leião e Lage | Circular,1125,FFFFFF,3,
CM,1,1201,Terrugem (Escola) | Circular,1201,,1,3D85C6,1201_0,Terrugem (Escola) | Circular,1201,FFFFFF,3,
CM,1,1204,Alto do Forte (Centro Comercial) | Circular,1204,,1,3D85C6,1204_0,Alto do Forte (Centro Comercial) – Circular,1204,FFFFFF,3,
CM,1,1204,Alto do Forte (Centro Comercial) | Circular,1204,,3,3D85C6,1204_1,Rio de Mouro (Estação Norte) | Circular,1204,FFFFFF,3,
CM,0,1204,Alto do Forte (Centro Comercial) | Circular,1204,,3,3D85C6,1204_2,Alto do Forte (Centro Comercial) - Rio de Mouro (Estação Norte),1204,FFFFFF,3,
CM,0,1205,Algueirão-Mem Martins (Estação) - Mem Martins (Esc Secundária) via Hospital,1205,,1,3D85C6,1205_0,Algueirão-Mem Martins (Estação) - Mem Martins (Esc Secundária) via Hospital,1205,FFFFFF,3,
CM,0,1206,Algueirão-Mem Martins (Estação) - Portela de Sintra (Estação Norte) via Tribunal e Hospital,1206,,1,C61D23,1206_0,Algueirão-Mem Martins (Estação) - Portela de Sintra (Estação) via Tribunal e Hospital,1206,FFFFFF,3,
CM,0,1206,Algueirão-Mem Martins (Estação) - Portela de Sintra (Estação Norte) via Tribunal e Hospital,1206,,3,C61D23,1206_1,Algueirão (Estação) - Portela de Sintra (Estação Norte) via Hospital,1206,FFFFFF,3,
CM,0,1208,Almargem Bispo (Cemitério) - Portela de Sintra (Estação Norte),1208,,1,C61D23,1208_0,Almargem Bispo (Cemitério) - Portela de Sintra (Estação Norte) via Hospital,1208,FFFFFF,3,
CM,0,1209,Bairro da Felosa - Mira Sintra (Mercado) via Cemitério,1209,,1,C61D23,1209_0,Bairro da Felosa - Mira Sintra (Mercado) via Cemitério,1209,FFFFFF,3,
CM,0,1209,Bairro da Felosa - Mira Sintra (Mercado) via Cemitério,1209,,3,C61D23,1209_1,Bairro da Felosa - Mira Sintra (Mercado),1209,FFFFFF,3,
CM,0,1210,Bairro Fitares - Mem Martins (Esc Secundária),1210,,1,3D85C6,1210_0,Bairro Fitares - Mem Martins (Esc Secundária),1210,FFFFFF,3,
CM,0,1211,Belas (Samaritana) - Agualva-Cacém (Estação),1211,,1,C61D23,1211_0,Belas (Samaritana) - Agualva-Cacém (Estação),1211,FFFFFF,3,
CM,0,1212,Venda Seca - Queluz (Estação),1212,,1,C61D23,1212_0,Venda Seca - Queluz (Estação),1212,FFFFFF,3,
CM,0,1213,Bº Joaquim Fontes (Centro Comercial) - Agualva-Cacém (Estação),1213,,1,C61D23,1213_0,Bº Joaquim Fontes (Centro Comercial) - Agualva-Cacém (Estação),1213,FFFFFF,3,
CM,1,1215,Agualva-Cacém (Estação) | Circular via Encosta S. Marcos,1215,,1,C61D23,1215_0,Agualva-Cacém (Estação) via Encosta S. Marcos | Circular,1215,FFFFFF,3,
CM,1,1216,Tercena (Estação) | Circular via São Marcos Taguspark (Novo Banco) e Casal do Cotão,1216,,1,3D85C6,1216_0,Tercena (Estação) via São Marcos Taguspark (Novo Banco) e Casal do Cotão | Circular,1216,FFFFFF,3,
CM,1,1216,Tercena (Estação) | Circular via São Marcos Taguspark (Novo Banco) e Casal do Cotão,1216,,3,3D85C6,1216_1,Tercena (Estação) via São Marcos e Casal do Cotão | Circular,1216,FFFFFF,3,
CM,0,1217,Agualva-Cacém (Estação) - Massamá (Urbanização Norte),1217,,1,C61D23,1217_0,Agualva-Cacém (Estação) - Massamá (Urbanização Norte),1217,FFFFFF,3,
CM,0,1218,Agualva-Cacém (Estação) - Mira Sintra (Mercado) via Av Bomb Vol,1218,,1,C61D23,1218_0,Agualva-Cacém (Estação) - Mira Sintra (Mercado) via Av Bomb Vol,1218,FFFFFF,3,
CM,0,1219,Agualva-Cacém (Estação) - Mira Sintra (Mercado) via Av Santa Maria,1219,,1,C61D23,1219_0,Agualva-Cacém (Estação) - Mira Sintra (Mercado) via Av Santa Maria,1219,FFFFFF,3,
CM,1,1220,Agualva-Cacém (Estação) | Circular via S. Marcos (Largo),1220,,1,C61D23,1220_0,Agualva-Cacém (Estação) via S. Marcos (Largo) | Circular,1220,FFFFFF,3,
CM,0,1221,Agualva-Cacém (Estação) | Circular via Lopas,1221,,1,3D85C6,1221_0,Agualva-Cacém (Estação) via Lopas | Circular,1221,FFFFFF,3,
CM,1,1222,Agualva-Cacém (Estação) | Circular via Bairro Joaquim Fontes,1222,,1,3D85C6,1222_0,Agualva-Cacém (Estação) via Bairro Joaquim Fontes | Circular,1222,FFFFFF,3,
CM,0,1223,Agualva-Cacém (Estação) - Portela Sintra (Estação Sul),1223,,1,C61D23,1223_0,Agualva-Cacém (Estação) - Portela Sintra (Estação Sul),1223,FFFFFF,3,
CM,0,1223,Agualva-Cacém (Estação) - Portela Sintra (Estação Sul),1223,,3,C61D23,1223_1,Agualva-Cacém (Estação) - Portela Sintra (Estação Sul) via Vale Flores,1223,FFFFFF,3,
CM,0,1223,Agualva-Cacém (Estação) - Portela Sintra (Estação Sul),1223,,3,C61D23,1223_2,Agualva-Cacém (Estação) - Alto Do Forte (Centro Comercial),1223,FFFFFF,3,
CM,0,1224,Belas Clube Campo - Monte Abraão (Estação) via Carregueira (Estabelecimento Prisional),1224,,1,C61D23,1224_0,Belas Clube Campo - Monte Abraão (Estação) via Carregueira (Estabelecimento Prisional),1224,FFFFFF,3,
CM,1,1225,Agualva-Cacém (Estação) | Circular Via Enc. S. Marcos Univ Católica e Bela Vista,1225,,1,C61D23,1225_0,Agualva-Cacém (Estação) Via Enc. S. Marcos Univ Católica e Bela Vista | Circular,1225,FFFFFF,3,
CM,0,1226,Massamá (Casal Olival) - Queluz - Belas (Estação),1226,,1,3D85C6,1226_0,Massamá (Casal Olival) - Queluz - Belas (Estação),1226,FFFFFF,3,
CM,1,1228,Massamá-Barcarena (Estação Norte) | Circularvia Belas,1228,,1,C61D23,1228_0,Massamá-Barcarena (Estação Norte) via Belas | Circular,1228,FFFFFF,3,
CM,1,1229,Massamá-Barcarena (Estação Norte) | Circular via Quinta das Flores,1229,,1,3D85C6,1229_0,Massamá-Barcarena (Estação Norte) via Quinta das Flores | Circular,1229,FFFFFF,3,
CM,0,1230,Monte Abraão (Estação) | Circular,1230,,1,3D85C6,1230_0,Monte Abraão (Estação) | Circular,1230,FFFFFF,3,
CM,0,1231,Mem Martins (Esc. Ferreira Castro) - Coutinho Afonso,1231,,1,C61D23,1231_0,Mem Martins (Esc. Ferreira Castro) - Coutinho Afonso,1231,FFFFFF,3,
CM,1,1232,Rio de Mouro (Estação Sul) | Circular via Mem Martins,1232,,1,C61D23,1232_0,Rio de Mouro (Estação Sul) via Mem Martins | Circular,1232,FFFFFF,3,
CM,1,1233,Agualva-Cacém (Estação) Via | Circular Bela Vista Univ Católica e Enc. S. Marcos,1233,,1,C61D23,1233_0,Agualva-Cacém (Estação) Via Bela Vista Univ Católica e Enc. S. Marcos| Circular,1233,FFFFFF,3,
CM,0,1234,São Pedro Sintra (Chão Meninos) - Mira Sintra (Junta Freguesia),1234,,1,C61D23,1234_0,São Pedro Sintra (Chão Meninos) - Mira Sintra (Junta Freguesia),1234,FFFFFF,3,
CM,0,1235,Covas Ferro - Mercês (Estação Norte),1235,,1,C61D23,1235_0,Covas Ferro - Mercês (Estação Norte),1235,FFFFFF,3,
CM,0,1236,Alto do Forte (Centro Comercial) - Queluz - Belas (Estação),1236,,1,C61D23,1236_0,Alto do Forte (Centro Comercial) - Queluz - Belas (Estação),1236,FFFFFF,3,
